No,Shop Code,Date,Time,Item Sold,Conversation Details,StA,StB,StC,Pattern,,,ClipName,Stage-1,Stage-2,Stage-3,Stage-4,Stage - 5,Stage where goodday name used,Stage where black-wala etc used,stage where britannia word used
,,,,,,direct harmony,Shopkeeper suggest Harmony,,,,,,What customer asked,What shopkeeper offered,What was customer's reaction,,"If Not Purchased, Custumer purchased biscuit or not",,,
1,Pn-shivajinagar-1,17/10/2022,10:10:25 am,Harmony,Good Day Chocolate,bf,yes,bf,Offered & Purchased,Package Driven,Lady asked for Goodday or Patanjali. Harmony was offered by shopkeeper and she purchased 2 packs.,17-10-22-10-10.mp4,Good Day,Harmony,Purchased,,NO,1,1,
2,Pn-shivajinagar-1,17/10/2022,11:15:40 am,Harmony,"Good Day  -Konsa Lal,Hara",b,yes,bf,Offered & Purchased,Package Driven,"Another person asked for Britannia, red or green pack. When he saw Chocolate color Harmony pack being taken, he purchased the same one.",17-10-22-11-15.mp4,Good Day,Harmony,Purchased,,NO,1,,
3,Pn-shivajinagar-1,17/10/2022,11:15:40 am,Harmony,Tiger Do Cream Wala Do Kitne Ka Hain -15 Wala Hain Good Day 15 Wala,p,yes,bp,"Black wala, Chocolate wala, 15 wala",Package Driven,A kid points to chocolate color britannia pack. It turns oout to be Harmony pack. Kid is very excited to get the pack and starts eating right away. May be he is very excited with chocolate color of the pack.,17-10-22-11-15.mp4,Biscuit,Harmony,Kitne Ka Hain,Purchased,Yes,2,2,
4,Pn-shivajinagar-1,17/10/2022,12.17.50,Harmony,Cream Britania 15 Wala,p,yes,p,Offered & Purchased,15 Wala,Lady asked for Britannia. Harmony was offered and she accepted,17-10-22-12-17.mp4,Biscuit,Harmony,Purchased,,NO,,,
5,Pn-shivajinagar-1,18/10/2022,1:00:00 pm,Harmony,Ek Good Day De Do 15 Wala,bp,yes,bp,Offered & Purchased,15 Wala,"Lady asked ""Ek goodday do 15 wala"". Harmony was offered and purchased.",18-10-22-13-00.mp4,Good Day 15 Wala,Harmony,Purchased,,NO,1,1,
6,Pn-shivajinagar-1,19/10/2022,8:37:30 am,Harmony,Wo Wala Good Day 15 Rs,bp,yes,bp,15 Wala,15 Wala,,19-10-2022-08-37.mp4,Good Day,Harmony,Purchased,,NO,1,,
7,Pn-shivajinagar-1,20/10/2022,11.44.38,Harmony,Biscuit Do- Ha Nahi Chocolate Do,f,yes,f,"Black wala, Chocolate wala, 15 wala",Chocolate Goodday,Kid is very perticular about chocolate wala buiscuit and happily accepted harmony,20-10-22-11-44.mp4,Chocolate,Harmony,Purchased,,NO,,1,
8,Pn-shivajinagar-1,23/10/2022,13.35.25,Harmony,15 Wala Good Day De Do,bp,yes,bp,"Black wala, Chocolate wala, 15 wala",15 Wala,"Lady asked for ""15 wala goodday"" and bought harmony",23-10-22-13-35.mp4,15 Wala Good Day,Harmony,Purchased,,NO,1,1,
9,Pn-shivajinagar-1,24/10/2022,08.56.15,Harmony,Good Day - Harmony/Green- Ye Hara Mat Do-Harmony Purchased,b,yes,H,"Black wala, Chocolate wala, 15 wala",Chocolate Goodday,Lady asked for goodday. Shop keeper offered green and chocolate pack. Lady selected chocolate pack i.e. harmony,24-10-22-08-56.mp4,Good Day,Harmony,Purchased,,NO,,,
